 VARIABLES = X, Y, DEN, U, V, PRE, Tem, StrF
 ZONE  I =          251 , J =           61 
 DATAPACKING=BLOCK, VARLOCATION=([3-8]=CELLCENTERED)
  0.000000000000000E+000  2.513009544330000E-002  5.024431817980000E-002
  7.532680552790000E-002  0.100361714851000       0.125333233564000     
  0.150225589121000       0.175023058975000       0.199709980514000     
  0.224270760949000       0.248689887165000       0.272951935517000     
  0.297041581577000       0.320943609807000       0.344642923175000     
  0.368124552685000       0.391373666837000       0.414375580993000     
  0.437115766651000       0.459579860621000       0.481753674102000     
  0.503623201636000       0.525174629961000       0.546394346734000     
  0.567268949127000       0.587785252292000       0.607930297695000     
  0.627691361291000       0.647055961569000       0.666011867434000     
  0.684547105929000       0.702649969799000       0.720309024888000     
  0.737513117358000       0.754251380736000       0.770513242776000     
  0.786288432137000       0.801566984871000       0.816339250717000     
  0.830595899196000       0.844327925502000       0.857526656194000     
  0.870183754670000       0.882291226435000       0.893841424151000     
  0.904827052466000       0.915241172621000       0.925077206834000     
  0.934328942457000       0.942990535893000       0.951056516295000     
  0.958521789017000       0.965381638833000       0.971631732915000     
  0.977268123568000       0.982287250729000       0.986685944208000     
  0.990461425697000       0.993611310520000       0.996133609143000     
  0.998026728428000       0.999289472641000       0.999921044204000     
  0.999921044204000       0.999289472641000       0.998026728428000     
  0.996133609143000       0.993611310520000       0.990461425697000     
  0.986685944208000       0.982287250729000       0.977268123568000     
  0.971631732915000       0.965381638833000       0.958521789017000     
  0.951056516295000       0.942990535893000       0.934328942457000     
  0.925077206834000       0.915241172621000       0.904827052466000     
  0.893841424151000       0.882291226435000       0.870183754670000     
  0.857526656194000       0.844327925502000       0.830595899196000     
  0.816339250717000       0.801566984871000       0.786288432137000     
  0.770513242776000       0.754251380736000       0.737513117358000     
  0.720309024888000       0.702649969799000       0.684547105929000     
  0.666011867434000       0.647055961569000       0.627691361291000     
  0.607930297695000       0.587785252292000       0.567268949127000     
